plot_type,n_variants,n_samples,n_values,dpi,average_mem,average_peak_mem,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,peak_memory_0,peak_memory_1,peak_memory_2,peak_memory_3,peak_memory_4,peak_memory_5,peak_memory_6,peak_memory_7,peak_memory_8,peak_memory_9
pcolorfast,50,10,500,50,10446989.8,15441421.3,10505846,10487022,10482510,10483782,10316578,10469602,10467652,10473459,10476501,10306946,15499197,15481635,15476931,15477997,15311353,15464265,15462413,15467885,15470867,15301670
pcolormesh,50,10,500,50,50531107.8,140703446.9,50565570,50561322,50564382,50408325,50560241,50559586,50559565,50572153,50401213,50558721,140736973,140733600,140736896,140580808,140732610,140732048,140731927,140744215,140573577,140731815
matshow,50,10,500,50,10438044.4,15431127.7,10473425,10473176,10473073,10303192,10467776,10471439,10466003,10474919,10304638,10472803,15465013,15466718,15465620,15296084,15460891,15465629,15459362,15467743,15298017,15466200
imshow,50,10,500,50,10437696.5,15431045.0,10467647,10466799,10474323,10309295,10470041,10465370,10468297,10483726,10304393,10467074,15461660,15460166,15467197,15302693,15463050,15459373,15461742,15476512,15297521,15460536
pcolor,50,10,500,100,934600647.5,1597185554.8,934736061,934588344,934584038,934584631,934587390,934585623,934585593,934584920,934585467,934584408,1597320917,1597173310,1597168949,1597169540,1597172298,1597170579,1597170402,1597169894,1597170296,1597169363
pcolorfast,50,10,500,100,10440606.1,15435447.5,10484077,10479462,10478469,10304645,10469802,10466366,10477845,10314867,10465561,10464967,15478528,15473821,15472860,15299516,15464626,15461896,15472172,15309935,15460336,15460785
pcolormesh,50,10,500,100,50528888.9,140701246.1,50559852,50567061,50404226,50556499,50561613,50558777,50568263,50395671,50558110,50558817,140731968,140739028,140576637,140729800,140734083,140731053,140740235,140567945,140730580,140731132
matshow,50,10,500,100,10438054.9,15431488.9,10472658,10473626,10305685,10467950,10471692,10466781,10475065,10306267,10471896,10468929,15466104,15466615,15298545,15461551,15465523,15460295,15468065,15299681,15465169,15463341
imshow,50,10,500,100,10437676.4,15430878.6,10467863,10475216,10308921,10469082,10466476,10467013,10482539,10304832,10468154,10466668,15461192,15468042,15302015,15461867,15460485,15460414,15475164,15297634,15461108,15460865
pcolorfast,50,10,500,150,10440377.1,15435163.5,10476575,10305008,10468716,10475516,10478005,10321093,10467321,10468425,10467820,10475292,15470943,15300001,15463764,15469890,15472411,15316209,15462143,15463927,15462596,15469751
pcolormesh,50,10,500,150,50529646.8,140702017.3,50399142,50559373,50561184,50563691,50564531,50396500,50560157,50559517,50564841,50567532,140571459,140732599,140733602,140735974,140736365,140568969,140732596,140731952,140737156,140739501
matshow,50,10,500,150,10437219.6,15430598.9,10305377,10466552,10466930,10472687,10474301,10305516,10468522,10471519,10466431,10474361,15298800,15459881,15461399,15466258,15467002,15298668,15461588,15465796,15459518,15467079
imshow,50,10,500,150,10437826.6,15431029.4,10303291,10471459,10465540,10466801,10473875,10308942,10469302,10467591,10467441,10484024,15296157,15464855,15459643,15459808,15466613,15302006,15462184,15461654,15460654,15476720
pcolorfast,50,10,500,200,10439613.3,15434585.0,10468648,10468678,10477183,10317490,10470142,10469609,10468263,10476622,10312639,10466859,15463367,15463993,15471587,15312774,15465118,15465310,15463127,15471184,15307404,15461986
pcolormesh,50,10,500,200,50528965.8,140701325.4,50559271,50560259,50565688,50404269,50558015,50559549,50558682,50564261,50401275,50558389,140731735,140732736,140737564,140576729,140731053,140731974,140731001,140736091,140573611,140730760
matshow,50,10,500,200,10437597.4,15431034.3,10467036,10468777,10478756,10305369,10469562,10466340,10471577,10473996,10305854,10468707,15460698,15462249,15471519,15298614,15462892,15460764,15465151,15466972,15299125,15462359
imshow,50,10,500,200,10437642.5,15431035.1,10471255,10466829,10475589,10304388,10470986,10468783,10467501,10473781,10308414,10468899,15465069,15460388,15468434,15298119,15464350,15462836,15460927,15466536,15301359,15462333
pcolorfast,50,100,5000,50,10440351.6,15435091.9,10471359,10476608,10305072,10468120,10479381,10478120,10315514,10470281,10466622,10472439,15465772,15471012,15299822,15463174,15473801,15472433,15310391,15465129,15462042,15467343
pcolormesh,50,100,5000,50,50529067.8,140701430.8,50567301,50399688,50558044,50559761,50559186,50569080,50396470,50559796,50557882,50563470,140739243,140572024,140731067,140732092,140731656,140740949,140568882,140732122,140730356,140735917
matshow,50,100,5000,50,10437551.5,15430957.1,10476156,10304771,10468151,10467296,10473677,10475138,10303006,10466997,10471826,10468497,15468711,15298132,15461270,15461673,15466927,15468111,15295949,15460428,15466462,15461908
imshow,50,100,5000,50,10437548.3,15430899.5,10474770,10304883,10473128,10466960,10467839,10474203,10309147,10468766,10467619,10468168,15467459,15298723,15465981,15460928,15461231,15466997,15302262,15462083,15461408,15461923
pcolorfast,50,100,5000,100,10439364.1,15434196.8,10461471,10469520,10475970,10477498,10320923,10466871,10467819,10467992,10476081,10309496,15456377,15464373,15470276,15471941,15316079,15461733,15463523,15462838,15470408,15304420
pcolormesh,50,100,5000,100,50529156.7,140701526.7,50560159,50560144,50562795,50564768,50397214,50559890,50558076,50564676,50566649,50397196,140733127,140732526,140735107,140736739,140569593,140732319,140730559,140737208,140738476,140569613
matshow,50,100,5000,100,10437488.0,15430919.8,10467680,10466241,10472986,10474304,10304338,10467915,10472033,10468107,10476345,10304931,15460973,15460525,15465983,15466917,15297881,15461597,15466365,15461772,15469149,15298036
imshow,50,100,5000,100,10437577.9,15430899.5,10472096,10467599,10467196,10473691,10309193,10467768,10465755,10465896,10482751,10303834,15465466,15461555,15460475,15466394,15302379,15461176,15459844,15459291,15475522,15296893
pcolorfast,50,100,5000,150,10437987.9,15432881.5,10467235,10470484,10314918,10465310,10467887,10475541,10476989,10308159,10466472,10466884,15462138,15465686,15309942,15460117,15463260,15469951,15471213,15302986,15461229,15462293
pcolormesh,50,100,5000,150,50527959.2,140700193.2,50559454,50566904,50400100,50557430,50557672,50557314,50565653,50399338,50557879,50557848,140731671,140738677,140572367,140729848,140729890,140729726,140737641,140571610,140730145,140730357
matshow,50,100,5000,150,10438159.5,15431641.4,10466656,10477857,10305373,10468583,10466764,10472662,10475418,10306852,10468742,10472688,15460077,15470767,15298796,15461768,15461327,15466406,15468300,15300113,15461996,15466864
imshow,50,100,5000,150,10436942.6,15430311.3,10466899,10474343,10305059,10471640,10464577,10468281,10474951,10308624,10468908,10466144,15460431,15466916,15297852,15464752,15458770,15461664,15467824,15302346,15462295,15460263
pcolorfast,50,100,5000,200,10440652.9,15435504.4,10477148,10306409,10469493,10475136,10478033,10320749,10468544,10467778,10467666,10475573,15471557,15301418,15464346,15469637,15472545,15315856,15463597,15463135,15462771,15470182
pcolormesh,50,100,5000,200,50529540.3,140701963.2,50400191,50560926,50560843,50563491,50563817,50395558,50560816,50558508,50563908,50567345,140572662,140734103,140733346,140736056,140735792,140567833,140733140,140730978,140736321,140739401
matshow,50,100,5000,200,10437668.4,15431028.9,10306391,10467771,10467711,10471175,10474664,10304977,10468269,10471657,10468073,10475996,15299732,15460920,15461899,15464527,15467573,15297856,15461347,15465998,15461445,15468992
imshow,50,100,5000,200,10437849.2,15431211.1,10304607,10472791,10466990,10466264,10473628,10308617,10467978,10466301,10467622,10483694,15297433,15466285,15460963,15459768,15466173,15302026,15461407,15460603,15460978,15476475
pcolorfast,50,1000,50000,50,10439619.5,15434514.2,10469227,10469446,10477983,10316047,10471093,10468362,10468337,10475976,10313423,10466301,15463978,15464907,15472144,15311112,15465798,15464072,15463289,15470448,15308085,15461309
