plot_type,n_variants,n_samples,n_values,dpi,average,cycle_0,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9
pcolorfast,50,10,500,50,0.006797027587890625,0.007987737655639648,0.0069828033447265625,0.007000923156738281,0.006105899810791016,0.006994485855102539,0.006929636001586914,0.006076335906982422,0.006894588470458984,0.0061032772064208984,0.006894588470458984
pcolormesh,50,10,500,50,0.006700038909912109,0.0070002079010009766,0.005999565124511719,0.007001399993896484,0.0059986114501953125,0.0069997310638427734,0.007000923156738281,0.005999326705932617,0.005999565124511719,0.0070002079010009766,0.008000850677490234
matshow,50,10,500,50,0.006899976730346679,0.008022069931030273,0.0069773197174072266,0.0060002803802490234,0.006999492645263672,0.0070002079010009766,0.006999969482421875,0.0060007572174072266,0.006999492645263672,0.0069997310638427734,0.007000446319580078
imshow,50,10,500,50,0.006900334358215332,0.007000446319580078,0.005999088287353516,0.0060002803802490234,0.007003068923950195,0.006999969482421875,0.007000446319580078,0.005999088287353516,0.007001638412475586,0.007001161575317383,0.00899815559387207
pcolor,50,10,500,100,0.00959947109222412,0.008994817733764648,0.007999420166015625,0.008000612258911133,0.007999897003173828,0.007999897003173828,0.007999658584594727,0.023000001907348633,0.008000850677490234,0.007999658584594727,0.007999897003173828
pcolorfast,50,10,500,100,0.00670011043548584,0.0070002079010009766,0.006000041961669922,0.0069997310638427734,0.0060002803802490234,0.007999897003173828,0.006000518798828125,0.005999326705932617,0.007000923156738281,0.005999326705932617,0.008000850677490234
pcolormesh,50,10,500,100,0.006799960136413574,0.005999565124511719,0.0070002079010009766,0.005999565124511719,0.006999969482421875,0.0069997310638427734,0.006999492645263672,0.007001638412475586,0.006001472473144531,0.006997585296630859,0.008000373840332031
matshow,50,10,500,100,0.007799983024597168,0.0070002079010009766,0.006999969482421875,0.00800013542175293,0.006999969482421875,0.008999824523925781,0.008003473281860352,0.008996963500976562,0.005998373031616211,0.008000612258911133,0.009000301361083984
imshow,50,10,500,100,0.007203006744384765,0.008000612258911133,0.005999326705932617,0.008000850677490234,0.006999015808105469,0.007001638412475586,0.006998300552368164,0.006999492645263672,0.00700068473815918,0.005999565124511719,0.009030580520629883
pcolorfast,50,10,500,150,0.008898472785949707,0.00699925422668457,0.007999420166015625,0.006999015808105469,0.00798940658569336,0.005994081497192383,0.0070056915283203125,0.0059986114501953125,0.028001070022583008,0.005997896194458008,0.0060002803802490234
pcolormesh,50,10,500,150,0.0067999839782714845,0.0069997310638427734,0.007000923156738281,0.0069997310638427734,0.00599980354309082,0.006999969482421875,0.00700068473815918,0.00699925422668457,0.00700068473815918,0.006999492645263672,0.005999565124511719
matshow,50,10,500,150,0.007100057601928711,0.008001565933227539,0.007999181747436523,0.006999969482421875,0.006999492645263672,0.006000518798828125,0.006999969482421875,0.008000373840332031,0.006999492645263672,0.006000041961669922,0.006999969482421875
imshow,50,10,500,150,0.0067999839782714845,0.006000041961669922,0.008000850677490234,0.005999326705932617,0.0069997310638427734,0.0070002079010009766,0.007000446319580078,0.0070018768310546875,0.0069980621337890625,0.006999015808105469,0.0060002803802490234
pcolorfast,50,10,500,200,0.007099962234497071,0.006999969482421875,0.0069997310638427734,0.007000446319580078,0.00800013542175293,0.006999969482421875,0.006999969482421875,0.006999492645263672,0.006000518798828125,0.006999969482421875,0.007999420166015625
pcolormesh,50,10,500,200,0.010700154304504394,0.00800013542175293,0.006000518798828125,0.007001638412475586,0.008112192153930664,0.011883735656738281,0.00699925422668457,0.01200246810913086,0.007997751235961914,0.009004831314086914,0.0299990177154541
matshow,50,10,500,200,0.008299708366394043,0.007099628448486328,0.00789785385131836,0.006998777389526367,0.007999897003173828,0.009029865264892578,0.008004903793334961,0.010966777801513672,0.007999420166015625,0.009002208709716797,0.007997751235961914
imshow,50,10,500,200,0.00840001106262207,0.007999658584594727,0.008002996444702148,0.008000850677490234,0.010995864868164062,0.009000062942504883,0.006998538970947266,0.008001089096069336,0.007998943328857422,0.008999824523925781,0.008002281188964844
pcolorfast,50,100,5000,50,0.007700085639953613,0.007999420166015625,0.007000446319580078,0.008999109268188477,0.007999897003173828,0.007001161575317383,0.006998777389526367,0.008001089096069336,0.008000373840332031,0.006999492645263672,0.008001089096069336
pcolormesh,50,100,5000,50,0.007399797439575195,0.006997585296630859,0.008000373840332031,0.00800013542175293,0.007000446319580078,0.006999492645263672,0.0069997310638427734,0.009001731872558594,0.006998777389526367,0.008001089096069336,0.0059986114501953125
matshow,50,100,5000,50,0.007701897621154785,0.006999492645263672,0.009006500244140625,0.006994724273681641,0.008016347885131836,0.007002592086791992,0.007997274398803711,0.007984399795532227,0.008015632629394531,0.0069997310638427734,0.008002281188964844
imshow,50,100,5000,50,0.008608746528625488,0.005997657775878906,0.027062654495239258,0.0069217681884765625,0.005999326705932617,0.007000446319580078,0.0070056915283203125,0.0060002803802490234,0.005992889404296875,0.007000446319580078,0.007106304168701172
pcolorfast,50,100,5000,100,0.006789207458496094,0.0059964656829833984,0.00700068473815918,0.0060007572174072266,0.00789499282836914,0.006999492645263672,0.004999876022338867,0.007999181747436523,0.006000041961669922,0.00800013542175293,0.007000446319580078
pcolormesh,50,100,5000,100,0.007299995422363282,0.007001638412475586,0.006998300552368164,0.0069997310638427734,0.008000373840332031,0.00700068473815918,0.00699925422668457,0.007001638412475586,0.007998943328857422,0.007999420166015625,0.006999969482421875
matshow,50,100,5000,100,0.0071999549865722655,0.007999658584594727,0.00599980354309082,0.008000850677490234,0.006999492645263672,0.0070002079010009766,0.0070002079010009766,0.005999565124511719,0.007999420166015625,0.0069997310638427734,0.008000612258911133
imshow,50,100,5000,100,0.006999993324279785,0.0060007572174072266,0.0069997310638427734,0.0070002079010009766,0.006999969482421875,0.007999420166015625,0.007006168365478516,0.006994485855102539,0.006000041961669922,0.007999897003173828,0.00699925422668457
pcolorfast,50,100,5000,150,0.008199954032897949,0.007000446319580078,0.007002353668212891,0.02199697494506836,0.006000041961669922,0.007000446319580078,0.0060002803802490234,0.00800013542175293,0.005999326705932617,0.006000041961669922,0.006999492645263672
pcolormesh,50,100,5000,150,0.007100152969360352,0.00700068473815918,0.007999658584594727,0.006000041961669922,0.0070002079010009766,0.0069997310638427734,0.00700068473815918,0.007999181747436523,0.007001638412475586,0.006999015808105469,0.00700068473815918
matshow,50,100,5000,150,0.007100057601928711,0.006999492645263672,0.007999181747436523,0.006000041961669922,0.00800013542175293,0.0060002803802490234,0.008000612258911133,0.00699925422668457,0.007999420166015625,0.00600123405456543,0.007000923156738281
imshow,50,100,5000,150,0.00670011043548584,0.005999326705932617,0.0070002079010009766,0.006999969482421875,0.0060002803802490234,0.0070002079010009766,0.005998134613037109,0.007001399993896484,0.0069997310638427734,0.0069997310638427734,0.007002115249633789
pcolorfast,50,100,5000,200,0.006800103187561035,0.0070002079010009766,0.0070002079010009766,0.005999565124511719,0.007009267807006836,0.006990671157836914,0.005999565124511719,0.007000923156738281,0.006999969482421875,0.0060007572174072266,0.007999897003173828
pcolormesh,50,100,5000,200,0.008901524543762206,0.006999015808105469,0.006998538970947266,0.007005453109741211,0.006996631622314453,0.022998332977294922,0.007000923156738281,0.007000446319580078,0.007000923156738281,0.007998228073120117,0.009016752243041992
matshow,50,100,5000,200,0.006808781623840332,0.007000446319580078,0.00700068473815918,0.005984067916870117,0.008015155792236328,0.007000446319580078,0.00699925422668457,0.006086587905883789,0.006008148193359375,0.007992267608642578,0.0060007572174072266
imshow,50,100,5000,200,0.006389617919921875,0.006897687911987305,0.006998538970947266,0.006000518798828125,0.006998777389526367,0.004999876022338867,0.006000995635986328,0.005999326705932617,0.0060002803802490234,0.00800013542175293,0.006000041961669922
pcolorfast,50,1000,50000,50,0.006700372695922852,0.005999565124511719,0.0070002079010009766,0.0070002079010009766,0.007001399993896484,0.005997180938720703,0.007001399993896484,0.0070002079010009766,0.006999969482421875,0.00599980354309082,0.0070037841796875
pcolormesh,50,1000,50000,50,0.008899641036987305,0.009012699127197266,0.011001110076904297,0.00899815559387207,0.00898289680480957,0.008000373840332031,0.008000612258911133,0.009998798370361328,0.00800180435180664,0.008998632431030273,0.008001327514648438
matshow,50,1000,50000,50,0.009799957275390625,0.00800323486328125,0.007999658584594727,0.008002042770385742,0.00799870491027832,0.007999181747436523,0.0070037841796875,0.03099822998046875,0.007000446319580078,0.006994962692260742,0.005999326705932617
imshow,50,1000,50000,50,0.007200026512145996,0.00900125503540039,0.005998849868774414,0.008002519607543945,0.006998538970947266,0.007999658584594727,0.006998777389526367,0.007001638412475586,0.006999492645263672,0.006000041961669922,0.006999492645263672
pcolorfast,50,1000,50000,100,0.0073016643524169925,0.00700068473815918,0.0069997310638427734,0.0070002079010009766,0.007998943328857422,0.0060002803802490234,0.008006095886230469,0.007010459899902344,0.0070002079010009766,0.008999824523925781,0.0070002079010009766
pcolormesh,50,1000,50000,100,0.01009993553161621,0.009000062942504883,0.010001659393310547,0.009001493453979492,0.011997222900390625,0.009999275207519531,0.010001659393310547,0.00999903678894043,0.00998687744140625,0.010995149612426758,0.010016918182373047
matshow,50,1000,50000,100,0.007298421859741211,0.007988214492797852,0.00700831413269043,0.0069904327392578125,0.007002115249633789,0.0069980621337890625,0.006999969482421875,0.007001399993896484,0.00799560546875,0.00800013542175293,0.006999969482421875
imshow,50,1000,50000,100,0.00840001106262207,0.006005287170410156,0.006995201110839844,0.007999897003173828,0.006999492645263672,0.007000446319580078,0.007001399993896484,0.005998373031616211,0.005999326705932617,0.02300095558166504,0.0069997310638427734
pcolorfast,50,1000,50000,150,0.006699943542480468,0.006000518798828125,0.0070002079010009766,0.0060002803802490234,0.006999969482421875,0.005999565124511719,0.00800013542175293,0.005999326705932617,0.007001399993896484,0.006999492645263672,0.006998538970947266
pcolormesh,50,1000,50000,150,0.009400033950805664,0.01000070571899414,0.009000778198242188,0.008999824523925781,0.009000539779663086,0.008999824523925781,0.010998725891113281,0.009000539779663086,0.009999513626098633,0.008999347686767578,0.009000539779663086
matshow,50,1000,50000,150,0.007200074195861816,0.008000373840332031,0.007000923156738281,0.006999969482421875,0.006999969482421875,0.0070002079010009766,0.007999658584594727,0.0070002079010009766,0.006000995635986328,0.00800013542175293,0.006998300552368164
imshow,50,1000,50000,150,0.006800103187561035,0.008000373840332031,0.007000446319580078,0.007000446319580078,0.005999088287353516,0.005999088287353516,0.007999658584594727,0.006000995635986328,0.006999969482421875,0.006000041961669922,0.007000923156738281
pcolorfast,50,1000,50000,200,0.009100031852722169,0.006000041961669922,0.0070018768310546875,0.005998373031616211,0.008000850677490234,0.0059986114501953125,0.00700068473815918,0.008000612258911133,0.007999181747436523,0.008999824523925781,0.026000261306762695
pcolormesh,50,1000,50000,200,0.009399986267089844,0.008998870849609375,0.009000778198242188,0.009000062942504883,0.01000070571899414,0.009998083114624023,0.009001016616821289,0.009999513626098633,0.009001016616821289,0.009000062942504883,0.009999752044677734
matshow,50,1000,50000,200,0.0070000171661376955,0.00599980354309082,0.006999969482421875,0.007999897003173828,0.006001949310302734,0.006998300552368164,0.007000446319580078,0.0070002079010009766,0.0069997310638427734,0.009001731872558594,0.005998134613037109
imshow,50,1000,50000,200,0.006499886512756348,0.007001399993896484,0.005997657775878906,0.007000446319580078,0.005999326705932617,0.006000041961669922,0.007001161575317383,0.005998849868774414,0.008000373840332031,0.005999088287353516,0.006000518798828125
pcolorfast,50,10000,500000,50,0.007400035858154297,0.008001565933227539,0.007998228073120117,0.007001399993896484,0.007001161575317383,0.006999015808105469,0.007000446319580078,0.009000062942504883,0.006999492645263672,0.007000446319580078,0.006998538970947266
pcolormesh,50,10000,500000,50,0.028800153732299806,0.02899909019470215,0.03100442886352539,0.02810215950012207,0.028931617736816406,0.02806997299194336,0.028937816619873047,0.03095555305480957,0.027001142501831055,0.0279996395111084,0.0280001163482666
matshow,50,10000,500000,50,0.00950019359588623,0.009001731872558594,0.026999235153198242,0.007002592086791992,0.007005929946899414,0.007993459701538086,0.007999420166015625,0.007004976272583008,0.0069959163665771484,0.007999181747436523,0.006999492645263672
imshow,50,10000,500000,50,0.007110142707824707,0.008000850677490234,0.00699925422668457,0.0069997310638427734,0.005999326705932617,0.007000446319580078,0.009000301361083984,0.006000041961669922,0.0070002079010009766,0.00700068473815918,0.007100582122802734
pcolorfast,50,10000,500000,100,0.007310032844543457,0.0060994625091552734,0.007004737854003906,0.007018089294433594,0.008989334106445312,0.007008790969848633,0.006987333297729492,0.006892204284667969,0.007101535797119141,0.008902549743652344,0.007096290588378906
pcolormesh,50,10000,500000,100,0.03029139041900635,0.029001474380493164,0.030899763107299805,0.030103683471679688,0.03099799156188965,0.028992176055908203,0.030012845993041992,0.029898881912231445,0.029990196228027344,0.03301811218261719,0.029998779296875
matshow,50,10000,500000,100,0.007609248161315918,0.008983135223388672,0.007103681564331055,0.0069468021392822266,0.009057998657226562,0.007019519805908203,0.006979227066040039,0.006997108459472656,0.007943391799926758,0.008061885833740234,0.0069997310638427734
imshow,50,10000,500000,100,0.009890246391296386,0.0069959163665771484,0.006901264190673828,0.007097721099853516,0.030902862548828125,0.007997989654541016,0.007001638412475586,0.008001089096069336,0.008999109268188477,0.007000446319580078,0.008004426956176758
pcolorfast,50,10000,500000,150,0.007499957084655761,0.006998300552368164,0.009001493453979492,0.007002115249633789,0.007999897003173828,0.006996631622314453,0.007001161575317383,0.009000062942504883,0.006998777389526367,0.0070056915283203125,0.006995439529418945
pcolormesh,50,10000,500000,150,0.02969975471496582,0.027997970581054688,0.030999183654785156,0.03000020980834961,0.0280001163482666,0.029000282287597656,0.029999494552612305,0.032000064849853516,0.029998779296875,0.03000164031982422,0.028999805450439453
matshow,50,10000,500000,150,0.007700157165527344,0.00800323486328125,0.010001659393310547,0.006998777389526367,0.006999015808105469,0.008000373840332031,0.00699925422668457,0.008002758026123047,0.007000446319580078,0.007994890213012695,0.007001161575317383
imshow,50,10000,500000,150,0.007299995422363282,0.007000446319580078,0.008001565933227539,0.007000446319580078,0.0070056915283203125,0.006993293762207031,0.006999492645263672,0.008998870849609375,0.007001399993896484,0.006999015808105469,0.0069997310638427734
pcolorfast,50,10000,500000,200,0.009800124168395995,0.008000612258911133,0.0069997310638427734,0.0070002079010009766,0.00800013542175293,0.00800180435180664,0.030998945236206055,0.006997585296630859,0.007003307342529297,0.006999492645263672,0.007999420166015625
pcolormesh,50,10000,500000,200,0.029399681091308593,0.028998136520385742,0.02999734878540039,0.029001712799072266,0.0299990177154541,0.028998851776123047,0.029001712799072266,0.029001474380493164,0.028998851776123047,0.03099966049194336,0.029000043869018555
matshow,50,10000,500000,200,0.0076004981994628905,0.008003473281860352,0.006999969482421875,0.0070002079010009766,0.008998870849609375,0.00700068473815918,0.00699925422668457,0.008008480072021484,0.006994724273681641,0.00900411605834961,0.006995201110839844
imshow,50,10000,500000,200,0.007199430465698242,0.006996631622314453,0.0070018768310546875,0.0070002079010009766,0.007998943328857422,0.0070002079010009766,0.007001638412475586,0.0070002079010009766,0.006994485855102539,0.007999181747436523,0.007000923156738281
pcolorfast,500,10,5000,50,0.0067000150680541996,0.005999565124511719,0.007000446319580078,0.006999969482421875,0.006999015808105469,0.00600123405456543,0.00699925422668457,0.007000923156738281,0.006999492645263672,0.006000995635986328,0.00699925422668457
pcolormesh,500,10,5000,50,0.0092116117477417,0.008000612258911133,0.007999897003173828,0.006999969482421875,0.00699925422668457,0.0070002079010009766,0.0070002079010009766,0.028113126754760742,0.00699162483215332,0.005949735641479492,0.007061481475830078
matshow,500,10,5000,50,0.006899189949035644,0.00799560546875,0.005998134613037109,0.006997823715209961,0.00700688362121582,0.00599217414855957,0.007995128631591797,0.006011247634887695,0.006989955902099609,0.007003307342529297,0.007001638412475586
imshow,500,10,5000,50,0.0067893266677856445,0.00889134407043457,0.00600123405456543,0.005998134613037109,0.006000995635986328,0.007000446319580078,0.00800013542175293,0.006000518798828125,0.00699925422668457,0.006000041961669922,0.007001161575317383
pcolorfast,500,10,5000,100,0.006610441207885742,0.005999565124511719,0.007000923156738281,0.0070002079010009766,0.007002830505371094,0.006101131439208984,0.006901264190673828,0.00610041618347168,0.005998849868774414,0.007999658584594727,0.005999565124511719
