plot_type,n_variants,n_samples,n_values,dpi,average,cycle_0,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9
pcolorfast,50,10,500,50,0.19224581718444825,0.2187366485595703,0.17188239097595215,0.14061832427978516,0.1093754768371582,0.12738561630249023,0.42715883255004883,0.2289714813232422,0.229644775390625,0.12805700302124023,0.14062762260437012
pcolormesh,50,10,500,50,0.7370286464691163,0.5781123638153076,0.531245231628418,0.524634838104248,1.8203413486480713,0.9862782955169678,0.9731996059417725,0.5189828872680664,0.4843635559082031,0.4999814033508301,0.45314693450927734
matshow,50,10,500,50,0.08906245231628418,0.10934948921203613,0.07813906669616699,0.06252384185791016,0.09374761581420898,0.09371757507324219,0.09375333786010742,0.10940742492675781,0.07813072204589844,0.0937190055847168,0.07813644409179688
imshow,50,10,500,50,0.16406288146972656,0.10936141014099121,0.07813763618469238,0.07810616493225098,0.10939908027648926,0.0781393051147461,0.10934138298034668,0.07814502716064453,0.20316267013549805,0.7343170642852783,0.06251907348632812
pcolor,50,10,500,100,48.604274082183835,58.097697496414185,58.98495030403137,49.968751668930054,45.73472237586975,45.57842803001404,46.124685525894165,45.90689182281494,47.17222189903259,44.546761989593506,43.927629709243774
pcolorfast,50,10,500,100,0.06878185272216797,0.07812762260437012,0.07814931869506836,0.06284642219543457,0.07776236534118652,0.06253266334533691,0.06285476684570312,0.07807636260986328,0.06254458427429199,0.06213808059692383,0.06278634071350098
pcolormesh,50,10,500,100,0.4374715566635132,0.45282649993896484,0.4378049373626709,0.42156100273132324,0.4218592643737793,0.4375181198120117,0.4843637943267822,0.42186784744262695,0.4377260208129883,0.4219956398010254,0.437192440032959
matshow,50,10,500,100,0.06721804141998292,0.06248307228088379,0.07843613624572754,0.06219148635864258,0.06284403800964355,0.07812857627868652,0.07809209823608398,0.06247305870056152,0.06258249282836914,0.062499284744262695,0.06245017051696777
imshow,50,10,500,100,0.06403210163116455,0.06258702278137207,0.04676532745361328,0.07784175872802734,0.06277799606323242,0.06257915496826172,0.0467982292175293,0.06257128715515137,0.06245088577270508,0.06216788291931152,0.0937814712524414
pcolorfast,50,10,500,150,0.08437459468841553,0.07810664176940918,0.09375739097595215,0.10937309265136719,0.09376049041748047,0.09374189376831055,0.07815265655517578,0.07809805870056152,0.07812714576721191,0.07812094688415527,0.06250762939453125
pcolormesh,50,10,500,150,0.44534428119659425,0.4375126361846924,0.43778085708618164,0.42190122604370117,0.4528019428253174,0.43751025199890137,0.46905970573425293,0.45294761657714844,0.43765711784362793,0.437577486038208,0.46869397163391113
matshow,50,10,500,150,0.06246917247772217,0.06249690055847168,0.06251239776611328,0.04686784744262695,0.07782721519470215,0.07845449447631836,0.046853065490722656,0.0625619888305664,0.062425851821899414,0.06217694282531738,0.0625150203704834
imshow,50,10,500,150,0.06093916893005371,0.062493085861206055,0.04719877243041992,0.06255364418029785,0.06250596046447754,0.0624392032623291,0.06256461143493652,0.062111854553222656,0.04720449447631836,0.06218600273132324,0.07813405990600586
pcolorfast,50,10,500,200,0.06096770763397217,0.0624852180480957,0.06279706954956055,0.0625298023223877,0.06215500831604004,0.04721355438232422,0.06253528594970703,0.06215405464172363,0.06281638145446777,0.06248879432678223,0.06250190734863281
pcolormesh,50,10,500,200,0.45937519073486327,0.4375009536743164,0.49967241287231445,0.43783044815063477,0.4531240463256836,0.43750619888305664,0.4531526565551758,0.42173147201538086,0.43766355514526367,0.4996190071105957,0.5159511566162109
matshow,50,10,500,200,0.059374427795410155,0.06249427795410156,0.06256747245788574,0.046820640563964844,0.06255865097045898,0.07807087898254395,0.046906232833862305,0.062134504318237305,0.06281900405883789,0.04686164855957031,0.06251096725463867
imshow,50,10,500,200,0.06406257152557374,0.06249237060546875,0.04688000679016113,0.07775616645812988,0.06248950958251953,0.07810568809509277,0.06250166893005371,0.04688715934753418,0.0625,0.062497615814208984,0.07851552963256836
pcolorfast,50,100,5000,50,0.0640944242477417,0.06287455558776855,0.0624852180480957,0.07812047004699707,0.06252288818359375,0.062392234802246094,0.062224626541137695,0.06280779838562012,0.07821869850158691,0.06248188018798828,0.04681587219238281
pcolormesh,50,100,5000,50,0.45934152603149414,0.43738794326782227,0.4532153606414795,0.4374961853027344,0.43721842765808105,0.46872830390930176,0.469057559967041,0.43750715255737305,0.4375157356262207,0.48404788970947266,0.531240701675415
matshow,50,100,5000,50,0.06409037113189697,0.06283903121948242,0.046875953674316406,0.07782292366027832,0.06278395652770996,0.06220698356628418,0.0781106948852539,0.06279325485229492,0.04695916175842285,0.0625605583190918,0.07795119285583496
imshow,50,100,5000,50,0.060930299758911136,0.0469362735748291,0.06255531311035156,0.06245017051696777,0.04692339897155762,0.07775306701660156,0.06273674964904785,0.06257057189941406,0.04685854911804199,0.07801461219787598,0.06250429153442383
