n_rows,n_cols,np_time,df_time
10,5,0.0,0.006014823913574219
10,10,0.0,0.008017539978027344
10,20,0.0009989738464355469,0.010015726089477539
100,5,0.0029973983764648438,0.01501774787902832
100,10,0.003997325897216797,0.01501774787902832
100,20,0.004994869232177734,0.01701498031616211
1000,5,0.009992599487304688,0.018013715744018555
1000,10,0.016000032424926758,0.020998477935791016
1000,20,0.024009227752685547,0.02300286293029785
10000,5,0.054006338119506836,0.0250089168548584
10000,10,0.10607409477233887,0.02915477752685547
10000,20,0.1961371898651123,0.038179874420166016
100000,5,0.49439048767089844,0.061254024505615234
100000,10,0.9934508800506592,0.09027242660522461
100000,20,1.9374761581420898,0.14364027976989746
